Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0,TE2,Noah Fant,TE,SEA,92,76.9,104,10.9,55,34.4,4.73,6,143,3.6,NA,13,NA,177,31.3,7.05,NA,128
106,,Jameis Winston,QB,NO,350,266,375,14.3,32,-75.4,0.718,6,144,6.37,Q,18,NA,19.3,4.98,3.22,Q,999
135,,Trevor Lawrence,QB,JAC,350,296,377,23.5,52,-76.1,3.41,7,144,10.3,NA,19,NA,116,18.2,3.49,NA,999
123,,Deshaun Watson,QB,CLE,210,110,368,58.3,99,-215,126,12,144,7.4,S,31,NA,108,40.5,10.5,O,999
140,,Marquez Valdes-Scantling,WR,KC,103,85.3,124,12.4,70,-2.94,1.35,8,144,4.53,NA,55,NA,46.6,9.65,4.47,NA,129
89,,Jamaal Williams,RB,DET,97.2,79.9,104,6.38,19,-6.48,1.66,12,144,4.35,NA,44,NA,43.5,7.38,2.68,Q,130
84,,Jakobi Meyers,WR,NE,104,89.9,121,9.91,54,-1.84,0.108,8,145,2.92,NA,52,5,NA,NA,6.26,NA,131
133,,Albert Okwuegbunam,TE,DEN,82.8,61.5,96.4,10.3,71,25.2,1.76,7,145,4.53,NA,20,NA,197,31.6,5.61,Q,132
137,,Mecole Hardman,WR,KC,106,89.4,149,9.43,83,0.8,0.583,8,149,3.89,Q,47,NA,97.2,20,6.62,NA,133
0,TE3,Irv Smith Jr.,TE,MIN,85.4,79.9,93.6,5.01,6,27.8,0.00819,6,149,6.24,Q,16,NA,108,18.9,2.94,NA,134
0,QB2,Mac Jones,QB,NE,337,301,371,25.2,65,-88.9,9.59,7,151,6.87,NA,21,NA,184,65,9.78,NA,999
0,WR1,Kenny Golladay,WR,NYG,101,67.7,123,16.2,87,-4.49,1.9,8,151,3.22,NA,57,NA,133,22.9,3.7,NA,135
0,QB3,Jared Goff,QB,DET,325,291,353,15.7,68,-101,1.19,7,152,6.19,NA,23,NA,205,56.5,6.23,Q,999
132,,Mark Ingram,RB,NO,80.4,45.6,94.6,14.2,71,-23.4,1.78,13,153,2.92,NA,51,5,NA,NA,5.01,NA,136
154,,Hassan Haskins,RB,TEN,45.1,19,81.5,32.2,98,-58.6,2.54,15,153,2.47,NA,63,,,,,,137
0,TE4,David Njoku,TE,CLE,87,80.4,105,5.96,52,29.4,1.61,6,154,3.99,NA,15,NA,41.1,7.45,3,Q,138
0,QB4,Carson Wentz,QB,WAS,327,298,357,32,84,-98.5,2.5,7,155,6.16,NA,22,NA,98.5,10.2,3.62,NA,999
0,QB5,Mitchell Trubisky,QB,PIT,260,176,337,25.3,71,-166,49.5,11,157,6.07,NA,30,NA,86.1,19.5,7.83,NA,999
