Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
143,,Eric Kendricks,LB,MIN,104,9.4,0.629,97.6,111,-4.07,-2.63,0,133,135,121,11,3,NA,NA,4.92,NA,999
0,LB4,Myles Jack,LB,JAC,103,9.97,0.912,96.6,110,-4.7,-3.62,-0.214,137,141,122,12,3,NA,NA,5.05,NA,999
0,TE10,Hayden Hurst,TE,ATL,103,27.6,0.00974,71.9,148,-49.7,-56.1,-26.4,477,405,263,28,9,217,39.1,7.46,NA,156
0,TE11,Dawson Knox,TE,BUF,103,13.7,2.18,84.1,119,-49.7,-43.9,-55.6,478,368,446,29,9,245,28,4.31,NA,157
0,LB5,Tremaine Edmunds,LB,BUF,102,5.16,1.75,98.3,105,-5.61,-1.94,-5.15,140,132,140,13,3,NA,NA,3.91,NA,999
122,,Jessie Bates,DB,CIN,101,6.01,0.286,97.1,105,4.77,6.45,3.68,101,104,105,5,2,NA,NA,4.13,NA,999
0,DB1,Justin Simmons,DB,DEN,101,8.63,3.15,95.1,107,4.48,4.49,5.31,102,109,102,6,3,NA,NA,4.98,NA,999
0,LB6,Nick Kwiatkoski,LB,LVR,100,8.2,0.754,95.1,106,-7.36,-5.15,-4.17,145,147,137,14,3,NA,NA,4.63,NA,999
0,TE12,Gerald Everett,TE,SEA,100,28.4,3.69,63.9,141,-51.9,-64.1,-33.2,499,435,313,30,9,163,33.8,6.85,NA,158
0,LB7,Jerome Baker,LB,MIA,99.6,5.16,0.221,95.8,103,-8.11,-4.44,-7.65,148,143,152,15,3,NA,NA,3.91,NA,999
0,LB8,Jayon Brown,LB,TEN,99.4,0.919,0.132,98.7,100,-8.33,-1.55,-10.6,150,129,163,16,4,NA,NA,2.9,NA,999
0,LB9,Deion Jones,LB,ATL,99.3,7.99,0.415,93.4,104,-8.46,-6.88,-6.19,152,156,147,17,4,NA,NA,4.58,NA,999
0,LB10,Lavonte David,LB,TB,98.9,0.99,2.6,98.1,99.5,-8.88,-2.15,-11.1,154,133,165,18,4,NA,NA,2.91,NA,999
0,DB2,Amani Hooker,DB,TEN,97.5,NA,0.23,NA,NA,1.33,NA,NA,114,NA,NA,7,3,NA,NA,NA,NA,999
0,DB3,Kevin Byard,DB,TEN,97.3,4.99,0.795,94.1,101,1.1,3.44,-0.739,115,114,125,8,3,NA,NA,3.8,NA,999
0,TE13,Chris Herndon,TE,NYJ,96.7,18.5,3.83,73.2,128,-55.6,-54.9,-46.2,525,402,402,31,10,261,32.7,5.5,NA,159
0,DB4,Malcolm Jenkins,DB,NO,96.5,9.12,0.308,90.6,103,0.308,0,1.5,117,121,114,9,3,NA,NA,5.15,NA,999
0,LB11,Jaylon Smith,LB,DAL,96.3,12.6,2.77,87,104,-11.5,-13.3,-6.26,163,186,148,19,4,NA,NA,5.68,NA,999
0,DB5,Kenny Moore,DB,IND,96.2,2.55,0.369,94.5,98,0,3.9,-3.64,118,110,135,10,3,NA,NA,3,NA,999
0,DB6,John Johnson,DB,CLE,95.8,5.8,0.645,92.1,100,-0.369,1.45,-1.62,119,117,128,11,3,NA,NA,4.06,NA,999
0,DB7,Khari Willis,DB,IND,95.2,16.3,0.178,84.7,107,-1.01,-5.89,5.43,122,153,101,12,3,NA,NA,7.47,NA,999
0,DB8,Tyrann Mathieu,DB,KC,95,9.12,0.421,89.1,102,-1.19,-1.5,0,123,128,121,13,3,NA,NA,5.15,NA,999
0.38,,Jordan Poyer,DB,BUF,94.6,6.79,1.33,89.6,98.9,-1.61,-1.07,-2.78,124,126,129,14,4,NA,NA,4.39,NA,999
0,LB12,Matt Milano,LB,BUF,93.5,2.26,0.362,92,95.1,-14.2,-8.24,-15.4,178,163,196,20,4,NA,NA,3.22,Q,999
0,DB9,Logan Ryan,DB,NYG,93.2,8.06,0.449,87.3,98.4,-2.95,-3.34,-3.3,128,140,131,15,4,NA,NA,4.8,NA,999
0,LB13,Nicholas Morrow,LB,LVR,93.1,1.34,2.31,92.1,94,-14.6,-8.14,-16.6,181,162,199,21,4,NA,NA,3,NA,999
0,TE14,C.J. Uzomah,TE,CIN,92.9,30.9,4.32,49.2,122,-59.4,-78.9,-52.3,548,466,431,32,10,292,36,7.46,NA,160
0,DB10,Johnathan Abram,DB,LVR,92.8,7.28,0.257,88.1,98.1,-3.4,-2.53,-3.55,130,134,133,16,4,NA,NA,4.55,NA,999
0,DB11,Carlton Davis,DB,TB,92.5,16.1,0.495,82.2,104,-3.65,-8.4,2.63,131,164,110,17,4,NA,NA,7.4,NA,999
0,DB12,Adrian Amos,DB,GB,92,1.56,0.12,91,93.2,-4.15,0.388,-8.51,134,120,155,18,4,NA,NA,2.68,NA,999
117,,Landon Collins,DB,WAS,91.9,2.9,0.0273,90,94,-4.27,-0.592,-7.65,135,125,153,19,4,NA,NA,3.12,NA,999
125,,Jabrill Peppers,DB,NYG,91.9,4.38,2.28,89.1,95.1,-4.3,-1.57,-6.58,136,130,149,20,4,NA,NA,3.6,NA,999
0,LB14,Eric Wilson,LB,PHI,90.8,14.2,1.01,81.7,101,-16.9,-18.6,-9.32,202,213,157,22,4,NA,NA,6.06,NA,999
0,LB15,Foyesade Oluokun,LB,ATL,89.8,NA,1.45,NA,NA,-17.9,NA,NA,206,NA,NA,23,5,NA,NA,NA,NA,999
