"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Drake Maye","QB","NE",11,323,11.1,8.88,313,340,20.7,30.8,16.2,67,57,71,5,"1",23,59,16.2,3,2
"J.K. Dobbins","RB","DEN",10,157,9.66,17.7,142,165,20.5,30,4.17,68,59,96,33,"11",27,106,8.97,11,6
"Ladd McConkey","WR","LAC",7,178,13.1,0.765,170,200,20.4,32.8,16.7,69,54,70,25,"5",24,49.8,16.5,22,2
"Alec Pierce","WR","IND",13,178,14.6,3.53,165,193,19.7,27.8,10.5,70,61,83,26,"5",26,84.3,10.7,31,4
"Kaimi Fairbairn","K","HOU",8,164,11.4,0.768,154,178,19.2,18.3,19.9,71,74,66,2,"1",32,140,2.75,68,10
"Kyle Pitts","TE","ATL",11,152,13.7,8.08,144,174,18.7,27.6,26.7,72,62,54,6,"4",25,83.5,11.8,20,5
"Jason Myers","K","SEA",11,164,13.6,4.75,154,185,18.5,18.1,27.6,73,76,52,3,"1",35,135,2.71,19,NA
"Courtland Sutton","WR","DEN",10,174,16.2,0.0882,158,197,16.1,21.4,13.6,74,70,79,27,"5",30,88.6,8.76,41,8
"Luther Burden","WR","CHI",10,174,31.1,1.92,137,219,16,0,36.1,75,103,44,28,"6",22,64.1,12.3,82,1
"Mike Evans","WR","SF",8,172,13.3,0.109,155,185,14.1,18.5,2.2,76,73,101,29,"6",32,69.8,15.2,23,12
"Jaylen Waddle","WR","DEN",10,172,11.3,6.48,156,186,14,18.8,2.65,77,72,98,30,"6",27,66,22,15,5
"Cameron Dicker","K","LAC",7,159,12.3,11.5,138,165,13.7,2.88,7.54,78,94,88,4,"2",26,134,2.79,39,4
"Jaxson Dart","QB","NYG",8,314,17.9,0.26,293,333,11.8,10.2,10.1,79,84,84,6,"1",23,75,9.31,61,1
"Joe Burrow","QB","CIN",6,313,19.4,7.18,298,337,11.5,15.7,13.7,80,80,78,7,"2",29,44.3,18,19,6
"Tucker Kraft","TE","GB",11,144,16.4,0.713,131,169,10.6,15.4,21,81,81,62,7,"4",25,83.9,11.9,40,3
"Sam LaPorta","TE","DET",6,143,12.5,1.54,133,162,9.86,16.9,14.1,82,78,75,8,"4",25,72,8.62,11,3
"Travis Kelce","TE","KC",5,142,9.86,1.05,131,156,8.33,15.3,8.07,83,82,87,9,"4",36,98.2,5.61,14,13
"Christian Watson","WR","GB",11,165,8.13,0.578,157,175,7.52,20.3,-7.84,84,71,124,31,"6",27,81.8,12.1,5,4
"Dallas Goedert","TE","PHI",10,141,23.1,0.774,113,173,7.28,-3.16,25.3,85,112,55,10,"4",31,115,4.32,77,8
"DK Metcalf","WR","PIT",9,165,14,2.26,148,185,6.94,10.7,1.95,86,83,102,32,"6",28,85,10.8,27,7
